,username,tweet,retweet,favorites
24,B̴A̴S̴M̴I̴ ̴A̴N̴J̴I̴N̴G̴ ̴P̴E̴K̴I̴N̴G̴!̴!̴!̴,b'RT @tjeeeloup: Yan setuju PARPOL turun ke jalan.\n\nRETWEET \xf0\x9f\x94\x82.\n\n#ParpolMatiSuri',21,0
25,Ide2nesia,"b'@Minietweets2 @YRadianto @budimandjatmiko Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,1
26,TVRI Nasional,"b'Kali ini De Parpol akan ngebahas \xe2\x80\x9cPemarah vs Peramah\xe2\x80\x9d bareng sama para komedian yang super lucu\xf0\x9f\xa4\xa3 \nJamin deh, #PemirsaTVRI ketawa terus!\xf0\x9f\x98\x9c\xf0\x9f\x98\x82\n\nSabtu, 12 Juni 2021 pukul 19.00 WIB\n\n#TVRI #TVRINasional #MediaPemersatuBangsa #DeParpol https://t.co/yOqXJESQdz'",1,5
27,Elang Selatan,"b'RT @Jhonkosmik: Terkait pemilu 2024.\n\nSikap sy jelas dan tegas, hanya akan membantu mensosialisasikan dukungan untuk parpol yang berkoalisi\xe2\x80\xa6'",15,0
28,Lazkars,b'@inlandertengik Parpol bukan mati suri.... OPOSISI yang terus dikebiri....',0,1
29,Dapuntha Hyang@Da_Yangku,b'RT @MSKaban3: @Zahrah40291660 @Matahari_1912 @Patiunus14 @LatanZa121325 @FKadrun @Da_yangqu @ZahrilLabung @Alismar89937714 @JacksQuevara @A\xe2\x80\xa6',2,0
30,zull,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
31,Hua Mulan,"b'RT @Maanusia_bodoh: @AlghifAqsa Bu mega itu mau mengajarkan ke kita bahwa tidak perlu kamu ngerjain skripsi, tesis, dll. Cukup kamu jadi ke\xe2\x80\xa6'",2,0
32,Ide2nesia,"b'@2five02 @iniakuitis Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,1
33,Jo Suizen,"b'@CNNIndonesia Jalan terbaik buat Mas Anies itu masuk parpol tahun 2022, maju Pilkada DKI tahun 2024. Kalau menang bisa coba ajang Pilpres 2029. Saya rasa langkah yang sama juga sangat baik bagi Kang Emil.'",0,0
34,Ide2nesia,"b'Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa https://t.co/S6AfEOix4R'",0,0
35,Aditia  Doni  S,"b'@kompascom dibawah monitor KPK , \nlembaga tinggi negara spt DPR, DPRD, BPK, Eksekutif &amp; pemerintah pusat, pemda  \n\ntidak jadi tanggungjawab KPK, \npengurus parpol tanpa jabatan publik ?\n\nsepertinya \ntak ada kerja ,  pengurus parpol tanpa jabatan publik ?'",0,0
36,August,b'RT @SantorinisSun: Kenyataan pahit seringkali dialami oleh seorg yg kapasitas sebenarnya cuma sebatas pion!\nDibutuhkan utk maju paling dpn\xe2\x80\xa6',26,0
37,Ide2nesia,"b'Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa https://t.co/OoUJveHngx'",0,1
38,Ide2nesia,"b'@HeriSuwondo2 Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,1
39,tweet_land🇮🇩,"b'RT @abu_waras: Jika di Pilpres 2024 ada 3 Pasangan Calon, dengan komposisi pasangan seperti ini, siapa yang akan anda pilih? \n\n*Bantu  RT a\xe2\x80\xa6'",217,0
40,Rya Wiedy,"b'@rafysugiri @Listy9021 @jokowi Benar, mestinya internal parpol dulu dan biarkan masy menjalani yg ada skrg, pemerintah yg skrg menjalankan tugas yg semestinya dilkk. Bukannya abai ke tugas, malah fokus persiapan suksesi'",0,0
41,Nariwhere,"b'RT @Maanusia_bodoh: @AlghifAqsa Bu mega itu mau mengajarkan ke kita bahwa tidak perlu kamu ngerjain skripsi, tesis, dll. Cukup kamu jadi ke\xe2\x80\xa6'",2,0
42,Izzulriz🇹🇷🇵🇸,"b'RT @Jhonkosmik: Terkait pemilu 2024.\n\nSikap sy jelas dan tegas, hanya akan membantu mensosialisasikan dukungan untuk parpol yang berkoalisi\xe2\x80\xa6'",15,0
43,Heri Suwondo,"b'Di level lbh tinggi Gub &amp; Pres, pasti jauh lbh mahal. Legislatif jg bgt. Dgn adanya pilihan lgsg sjk pemilu 2009, makin lama tambah mahal. Pantas KPK lalu dibunuh krn yg harus diberantas bukan hanya koruptor personal tapi yg lbh sadis adlh korupsi parpol yg berkuasa bikin UU KPK?'",0,5
44,Sunan daramang,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
45,NamaTidakBolehKosong,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
46,-,"b'Geblek juga ya mekdi, hari ke 3 gada kabar BTS meal gimana kejelasannya, giliran promo ramahnya kaya kampanye parpol. Ini juga yang beli pada gasabaran hari pertama kaya war tiket konser wkwkwk'",0,0
47,PRESIDEN GEPENG,"b'RT @BERKARYA_NET: Sudah loe jawab sendiri. Kalau parpol ""mati suri,"" terus kalian PUBG, gitu?! Agen of change kok nunggu, dari twit loe adj\xe2\x80\xa6'",28,0
48,Benny Djuwanda,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
49,MSKaban,b'@Zahrah40291660 @Matahari_1912 @Patiunus14 @LatanZa121325 @FKadrun @Da_yangqu @ZahrilLabung @Alismar89937714 @JacksQuevara @Agusran16 @bewoking @SBYudhoyono @salimsegaf @Amien__Rais @AgusYudhoyono @JazuliJuwaini @RAMujiyono @TofaTofa_id @officeUmmat @RidhoRahmadi85 @NcuhiRiwo @ZoelHayat @Sangk4k4l4 @PrilHuseno @ida_mastuti @handajani10 @Athie__05 @ReflyHZ @zainalamochtar @MS_Didu @KRMTRoySuryo2 @IrmanputraSidin @RamliRizal @hnurwahid @ANDINI_MAHARAN1 @GantenkSeno @aniesbaswedan @suryapaloh18 @msi_sohibuliman @FaisalBasri @GeiszChalifah @uusbustami @fahiraidris @___Mr_J03n4____ @paidjo2018 @deabrhedaha @4addibA @marlina_idha @ik4mawar @PKSejahtera Lengser dari kekuasaan itu biasa masalahnya hanya cara saja.Aku berpendapat Bung Karno dilengserkan PKI dgn kudeta berdarah.TNI bersama rakyat luluh lantakkan PKI.Pak Harto juga lengser terhormat menyatakan berhenti sbg Presiden RI.Gus Dur dilengserkan oleh PDIP dg parpol lainnya',2,7
50,vincentius yongki k,"b'@ScherazadeMS Kyk iklan parpol di pinggir jalan,semua item harus keliatan'",0,0
51,Eko Pangestu_28,"b'RT @FerdinandHaean3: Bagai 2 wanita tua utk kategori gadis, tapi tak kunjung dapat jodoh dan tak kunjung ada yg lamar. Akhirnya dgn paras d\xe2\x80\xa6'",35,0
52,Hamba Allah di Tempat,"b'@AkunBeruang_ Lha memang banyakan saat ini yang berpolitik lewat parpol karena ideologi?, memang ada, tapi gak semua, bahkan ideologi di parpol sekarang lebih populer sebagai formalitas belaka atau buat menyingkirkan yang menghalangi kepentingan individunya.'",0,1
53,NUR AINI AZAHRA,b'@yudiiswahiswah1 @geloraco Mang ucup kan udah punya Paytren  tinggal ajukan jadi parpol',0,0
54,kiv z#FNI,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
55,JOKO BOND,"b'@ibnadm_ @ocee_me08 Salafi gabung parpol? Ngga nyunnah dong, soalnya jaman nabi ngga ada tuh hadist soal parpol\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",0,0
